,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,first_time,first_time_1,OUT
2,2,anneal,1,1,active,ARFF,684,7,8,5,39,898,898,22175,6,33,0.275992155,0.061997652,FALSE
3,3,kr-vs-kp,1,1,active,ARFF,1669,3,1527,2,37,3196,0,0,0,37,0.577017546,0.060230494,FALSE
4,4,labor,1,1,active,ARFF,37,3,20,2,17,57,56,326,8,9,0.229769468,0.042788982,FALSE
5,5,arrhythmia,1,1,active,ARFF,245,13,2,13,280,452,384,408,206,74,0.556983948,0.088999271,FALSE
6,6,letter,1,1,active,ARFF,813,26,734,26,17,20000,0,0,16,1,0.666501522,0.047998428,FALSE
7,7,audiology,1,1,active,ARFF,57,24,1,24,70,226,222,317,0,70,0.298026562,0.074006796,FALSE
8,8,liver-disorders,1,1,active,ARFF,,,,0,6,345,0,0,6,0,0.187961102,0.038929701,FALSE
9,9,autos,1,1,active,ARFF,67,22,3,6,26,205,46,59,15,11,0.222993135,0.045996666,FALSE
10,10,lymph,1,1,active,ARFF,81,8,2,4,19,148,0,0,3,16,0.224993467,0.048008919,FALSE
11,11,balance-scale,1,1,active,ARFF,288,3,49,3,5,625,0,0,4,1,0.198994875,0.03700304,FALSE
12,12,mfeat-factors,1,1,active,ARFF,200,10,200,10,217,2000,0,0,216,1,0.916517735,0.07000041,FALSE
13,13,breast-cancer,1,1,active,ARFF,201,11,85,2,10,286,9,9,0,10,0.216099262,0.045737982,FALSE
14,14,mfeat-fourier,1,1,active,ARFF,200,10,200,10,77,2000,0,0,76,1,0.568304777,0.075999737,FALSE
15,15,breast-w,1,1,active,ARFF,458,2,241,2,10,699,16,16,9,1,0.19796133,0.050970078,FALSE
16,16,mfeat-karhunen,1,1,active,ARFF,200,10,200,10,65,2000,0,0,64,1,0.494644165,0.071006298,FALSE
18,18,mfeat-morphological,1,1,active,ARFF,200,10,200,10,7,2000,0,0,6,1,0.271068811,0.042988539,FALSE
20,20,mfeat-pixel,1,1,active,ARFF,200,10,200,10,241,2000,0,0,0,241,1.026359558,0.182033777,FALSE
22,22,mfeat-zernike,1,1,active,ARFF,200,10,200,10,48,2000,0,0,47,1,0.379081011,0.055970669,FALSE
23,23,cmc,1,1,active,ARFF,629,4,333,3,10,1473,0,0,2,8,0.227898598,0.063026667,FALSE
24,24,mushroom,1,1,active,ARFF,4208,12,3916,2,23,8124,2480,2480,0,23,0.767728806,0.056344509,FALSE
25,25,colic,1,1,active,ARFF,232,63,136,2,27,368,361,1927,7,20,0.240282059,0.058874846,FALSE
26,26,nursery,1,1,active,ARFF,4320,5,2,5,9,12960,0,0,0,9,0.456167698,0.046078682,FALSE
27,27,colic,2,1,active,ARFF,232,6,136,2,23,368,361,1927,7,16,0.248191833,0.048565388,FALSE
28,28,optdigits,1,1,active,ARFF,572,10,554,10,65,5620,0,0,64,1,0.502389908,0.053734541,FALSE
29,29,credit-approval,1,1,active,ARFF,383,14,307,2,16,690,37,67,6,10,0.204377174,0.041999817,FALSE
30,30,page-blocks,1,1,active,ARFF,4913,5,28,5,11,5473,0,0,10,1,0.306312323,0.038965225,FALSE
31,31,credit-g,1,1,active,ARFF,700,10,300,2,21,1000,0,0,7,14,0.256217003,0.044029951,FALSE
32,32,pendigits,1,1,active,ARFF,1144,10,1055,10,17,10992,0,0,16,1,0.533252001,0.043000698,FALSE
34,34,postoperative-patient-data,1,1,active,ARFF,64,4,2,3,9,90,3,3,0,9,0.209019899,0.037974596,FALSE
35,35,dermatology,1,1,active,ARFF,112,6,20,6,35,366,8,8,1,34,0.239084482,0.055029869,FALSE
36,36,segment,1,1,active,ARFF,330,7,330,7,20,2310,0,0,19,1,0.250968218,0.041995049,FALSE
37,37,diabetes,1,1,active,ARFF,500,2,268,2,9,768,0,0,8,1,0.199996471,0.039998055,FALSE
38,38,sick,1,1,active,ARFF,3541,5,231,2,30,3772,3772,6064,7,23,0.386120319,0.062975645,FALSE
39,39,ecoli,1,1,active,ARFF,143,8,2,8,8,336,0,0,7,1,0.195625305,0.03999877,FALSE
40,40,sonar,1,1,active,ARFF,111,2,97,2,61,208,0,0,60,1,0.212397575,0.044997931,FALSE
41,41,glass,1,1,active,ARFF,76,6,9,6,10,214,0,0,9,1,0.187852859,0.0400002,FALSE
42,42,soybean,1,1,active,ARFF,92,19,8,19,36,683,121,2337,0,36,0.270028591,0.05702734,FALSE
43,43,haberman,1,1,active,ARFF,225,12,81,2,4,306,0,0,2,2,0.192916155,0.033972025,FALSE
44,44,spambase,1,1,active,ARFF,2788,2,1813,2,58,4601,0,0,57,1,0.370003223,0.051000834,FALSE
46,46,splice,1,1,active,ARFF,1655,6,767,3,61,3190,0,0,0,61,0.570577383,0.114998579,FALSE
48,48,tae,1,1,active,ARFF,52,3,49,3,6,151,0,0,3,3,0.202024221,0.041000843,FALSE
49,49,heart-c,1,1,active,ARFF,165,4,138,2,14,303,7,7,6,8,0.215783596,0.043996572,FALSE
50,50,tic-tac-toe,1,1,active,ARFF,626,3,332,2,10,958,0,0,0,10,0.200438976,0.041038513,FALSE
51,51,heart-h,1,1,active,ARFF,188,4,106,2,14,294,293,782,6,8,0.200998306,0.051002026,FALSE
52,52,trains,1,1,active,ARFF,5,8,5,2,33,10,7,51,0,33,0.209274769,0.053965807,FALSE
